Class,isDecompilable,distanceToOriginal,nbNodesOriginal,isRecompilable,bytecodeDistance,passTests
org/junit/validator/ValidateWith,true,0,37,true,2,true
org/junit/validator/TestClassValidator,true,0,12,true,2,true
org/junit/validator/AnnotationValidatorFactory,true,12,365,true,2,true
org/junit/validator/AnnotationsValidator,true,213,1066,false,NA,false
org/junit/validator/AnnotationValidator,true,0,118,true,8,true
org/junit/validator/PublicClassValidator,true,9,135,true,7,true
org/junit/runners/Parameterized,true,173,1696,false,NA,false
org/junit/runners/BlockJUnit4ClassRunner,true,312,3403,false,NA,false
org/junit/runners/package-info,false,NA,NA,false,NA,false
org/junit/runners/parameterized/BlockJUnit4ClassRunnerWithParameters,true,166,1709,true,66,true
org/junit/runners/parameterized/ParametersRunnerFactory,true,0,12,true,0,true
org/junit/runners/parameterized/TestWithParameters,true,64,869,true,6,true
org/junit/runners/parameterized/BlockJUnit4ClassRunnerWithParametersFactory,true,0,42,true,0,true
org/junit/runners/ParentRunner,true,388,3497,false,NA,false
org/junit/runners/Suite,true,26,975,false,NA,false
org/junit/runners/JUnit4,true,0,47,true,2,true
org/junit/runners/AllTests,true,0,47,true,2,true
org/junit/runners/model/FrameworkMember,true,42,213,false,NA,false
org/junit/runners/model/NoGenericTypeParametersValidator,true,160,696,true,10,true
org/junit/runners/model/Annotatable,true,3,24,false,NA,false
org/junit/runners/model/TestTimedOutException,true,6,188,true,0,true
org/junit/runners/model/InitializationError,true,3,181,true,6,true
org/junit/runners/model/FrameworkMethod,true,154,1773,false,NA,false
org/junit/runners/model/FrameworkField,true,41,511,false,NA,false
org/junit/runners/model/Statement,true,0,20,true,0,true
org/junit/runners/model/MultipleFailureException,true,36,480,false,NA,false
org/junit/runners/model/TestClass,true,410,4288,false,NA,false
org/junit/runners/model/RunnerScheduler,true,0,14,true,0,true
org/junit/runners/model/RunnerBuilder,true,72,825,false,NA,false
org/junit/runners/MethodSorters,true,3,179,true,9,true
org/junit/AssumptionViolatedException,true,8,163,true,4,true
org/junit/rules/TemporaryFolder,true,108,1169,true,13,false
org/junit/rules/TestName,true,7,90,true,0,true
org/junit/rules/Stopwatch,true,121,948,false,NA,false
org/junit/rules/MethodRule,true,0,17,true,0,true
org/junit/rules/ExpectedException,true,119,885,false,NA,false
org/junit/rules/DisableOnDebug,true,58,346,true,19,true
org/junit/rules/ErrorCollector,true,41,385,false,NA,false
org/junit/rules/RunRules,true,23,206,true,14,true
org/junit/rules/TestWatchman,true,40,266,false,NA,false
org/junit/rules/TestWatcher,true,229,985,false,NA,false
org/junit/rules/ExpectedExceptionMatcherBuilder,true,47,532,true,15,true
org/junit/rules/RuleChain,true,22,350,true,14,true
org/junit/rules/ExternalResource,true,21,158,false,NA,false
org/junit/rules/TestRule,true,0,13,true,0,true
org/junit/rules/Verifier,true,15,96,false,NA,false
org/junit/rules/Timeout,true,143,982,false,NA,false
org/junit/Rule,true,0,57,true,0,true
org/junit/runner/Result,true,341,2220,false,NA,false
org/junit/runner/Describable,true,0,5,true,0,true
org/junit/runner/package-info,false,NA,NA,false,NA,false
org/junit/runner/FilterFactories,true,0,599,true,4,true
org/junit/runner/Request,true,16,679,false,NA,false
org/junit/runner/Computer,true,21,236,false,NA,false
org/junit/runner/JUnitCore,true,43,1020,true,8,true
org/junit/runner/Description,true,219,2368,false,NA,false
org/junit/runner/FilterFactoryParams,true,10,161,true,15,true
org/junit/runner/RunWith,true,4,56,true,2,true
org/junit/runner/JUnitCommandLineParseResult,true,175,1731,false,NA,false
