Class,isDecompilable,distanceToOriginal,nbNodesOriginal,isRecompilable,bytecodeDistance,passTests
org/apache/commons/imaging/ImageParser,true,731,3530,false,NA,false
org/apache/commons/imaging/palette/QuantizedPalette,true,82,910,true,68,true
org/apache/commons/imaging/palette/MedianCutImplementation,true,2,31,false,NA,NA
org/apache/commons/imaging/palette/MedianCutLongestAxisImplementation,true,436,1753,false,NA,false
org/apache/commons/imaging/palette/ColorComponent,true,NA,174,false,NA,false
org/apache/commons/imaging/palette/PaletteFactory,false,NA,NA,false,NA,false
org/apache/commons/imaging/palette/ColorGroupCut,true,34,249,true,14,true
org/apache/commons/imaging/palette/package-info,true,NA,NA,false,NA,NA
org/apache/commons/imaging/palette/MedianCutPalette,true,24,160,true,14,true
org/apache/commons/imaging/palette/Palette,true,116,216,true,34,NA
org/apache/commons/imaging/palette/MedianCutQuantizer,true,482,1815,true,311,true
org/apache/commons/imaging/palette/Dithering,true,286,1745,true,254,true
org/apache/commons/imaging/palette/ColorSpaceSubset,true,1249,4040,false,NA,false
org/apache/commons/imaging/palette/ColorCount,true,36,347,true,14,true
org/apache/commons/imaging/palette/ColorGroup,true,866,2630,false,NA,false
org/apache/commons/imaging/palette/SimplePalette,true,21,318,true,0,true
org/apache/commons/imaging/palette/MedianCutMostPopulatedBoxesImplementation,false,NA,NA,false,NA,false
org/apache/commons/imaging/FormatCompliance,true,656,1921,true,319,true
org/apache/commons/imaging/formats/ico/IcoImageParser,false,NA,NA,false,NA,false
org/apache/commons/imaging/formats/ico/package-info,true,NA,NA,false,NA,NA
org/apache/commons/imaging/formats/wbmp/WbmpImageParser,true,817,3300,false,NA,false
org/apache/commons/imaging/formats/wbmp/package-info,true,NA,NA,false,NA,NA
org/apache/commons/imaging/formats/xbm/package-info,true,NA,NA,false,NA,NA
org/apache/commons/imaging/formats/xbm/XbmImageParser,true,1385,5616,false,NA,false
org/apache/commons/imaging/formats/gif/GifHeaderInfo,true,60,522,true,0,true
org/apache/commons/imaging/formats/gif/ImageContents,true,12,137,false,NA,false
org/apache/commons/imaging/formats/gif/package-info,true,NA,NA,false,NA,NA
org/apache/commons/imaging/formats/gif/GifBlock,true,4,46,true,0,true
org/apache/commons/imaging/formats/gif/GenericGifBlock,true,35,363,true,24,true
org/apache/commons/imaging/formats/gif/ImageDescriptor,true,45,430,true,0,true
org/apache/commons/imaging/formats/gif/GraphicControlExtension,true,21,196,true,0,true
org/apache/commons/imaging/formats/gif/GifImageParser,false,NA,NA,false,NA,false
org/apache/commons/imaging/formats/tga/TgaConstants,true,NA,NA,true,NA,NA
org/apache/commons/imaging/formats/tga/TgaImageParser,true,NA,NA,true,NA,NA
org/apache/commons/imaging/formats/rgbe/package-info,true,NA,NA,false,NA,NA
org/apache/commons/imaging/formats/rgbe/InfoHeaderReader,true,43,220,true,28,true
org/apache/commons/imaging/formats/rgbe/RgbeImageParser,true,304,1141,false,NA,false
org/apache/commons/imaging/formats/rgbe/RgbeInfo,true,548,2251,true,337,true
org/apache/commons/imaging/formats/psd/ImageResourceType,true,79,2338,false,NA,NA
org/apache/commons/imaging/formats/psd/ImageResourceBlock,true,37,242,true,8,true
org/apache/commons/imaging/formats/psd/dataparsers/DataParserGrayscale,true,26,234,true,4,NA
org/apache/commons/imaging/formats/psd/dataparsers/DataParserBitmap,true,24,276,true,16,NA
org/apache/commons/imaging/formats/psd/dataparsers/DataParserIndexed,true,96,522,true,37,NA
org/apache/commons/imaging/formats/psd/dataparsers/DataParserCmyk,true,33,445,true,18,NA
org/apache/commons/imaging/formats/psd/dataparsers/DataParser,true,75,320,true,26,true
org/apache/commons/imaging/formats/psd/dataparsers/DataParserLab,true,40,314,true,14,NA
org/apache/commons/imaging/formats/psd/dataparsers/DataParserRgb,true,34,356,true,4,true
org/apache/commons/imaging/formats/psd/dataparsers/DataParserStub,true,6,73,true,0,NA
org/apache/commons/imaging/formats/psd/ImageContents,true,328,723,true,86,true
org/apache/commons/imaging/formats/psd/PsdImageParser,true,2959,7226,false,NA,false
org/apache/commons/imaging/formats/psd/PsdHeaderInfo,true,499,1080,true,130,true
org/apache/commons/imaging/formats/psd/package-info,true,NA,NA,false,NA,NA
org/apache/commons/imaging/formats/psd/datareaders/DataReader,true,5,71,true,0,true
org/apache/commons/imaging/formats/psd/datareaders/UncompressedDataReader,true,128,547,false,NA,NA
org/apache/commons/imaging/formats/psd/datareaders/CompressedDataReader,true,264,839,false,NA,false
org/apache/commons/imaging/formats/package-info,true,NA,NA,false,NA,NA
org/apache/commons/imaging/formats/png/GammaCorrection,true,93,763,true,14,true
org/apache/commons/imaging/formats/png/transparencyfilters/TransparencyFilterTrueColor,true,83,399,true,48,true
org/apache/commons/imaging/formats/png/transparencyfilters/TransparencyFilter,true,4,82,true,0,true
org/apache/commons/imaging/formats/png/transparencyfilters/TransparencyFilterGrayscale,true,19,206,true,14,true
org/apache/commons/imaging/formats/png/transparencyfilters/TransparencyFilterIndexedColor,true,69,228,true,53,true
org/apache/commons/imaging/formats/png/PngImageParser,false,NA,NA,false,NA,false
org/apache/commons/imaging/formats/png/PngImageInfo,true,22,275,true,6,true
org/apache/commons/imaging/formats/png/PngWriter,true,2754,8245,false,NA,false
org/apache/commons/imaging/formats/png/ColorType,true,NA,839,false,NA,false
org/apache/commons/imaging/formats/png/PngCrc,true,43,691,true,42,true
org/apache/commons/imaging/formats/png/ScanExpediter,true,624,2628,false,NA,false
org/apache/commons/imaging/formats/png/chunks/PngTextChunk,true,4,86,true,0,true
org/apache/commons/imaging/formats/png/chunks/PngChunkText,true,102,561,false,NA,false
org/apache/commons/imaging/formats/png/chunks/PngChunkIhdr,true,161,716,false,NA,false
org/apache/commons/imaging/formats/png/chunks/PngChunkGama,true,19,215,true,8,true
org/apache/commons/imaging/formats/png/chunks/PngChunkPlte,true,272,823,true,169,true
org/apache/commons/imaging/formats/png/chunks/PngChunkIdat,true,0,71,true,0,true
org/apache/commons/imaging/formats/png/chunks/PngChunkPhys,true,37,314,true,14,true
org/apache/commons/imaging/formats/png/chunks/PngChunkZtxt,true,156,618,false,NA,false
org/apache/commons/imaging/formats/png/chunks/PngChunkItxt,true,258,1226,false,NA,false
org/apache/commons/imaging/formats/png/chunks/PngChunk,true,93,674,true,35,true
org/apache/commons/imaging/formats/png/chunks/PngChunkIccp,false,NA,NA,false,NA,NA
org/apache/commons/imaging/formats/png/ChunkType,true,NA,459,false,NA,false
org/apache/commons/imaging/formats/png/InterlaceMethod,true,NA,113,false,NA,false
org/apache/commons/imaging/formats/png/PngText,true,97,277,false,NA,false
org/apache/commons/imaging/formats/png/ScanExpediterSimple,true,115,440,false,NA,false
org/apache/commons/imaging/formats/png/package-info,true,NA,NA,false,NA,NA
org/apache/commons/imaging/formats/png/FilterType,true,NA,82,false,NA,false
org/apache/commons/imaging/formats/png/ScanExpediterInterlaced,true,254,1003,false,NA,NA
org/apache/commons/imaging/formats/png/BitParser,true,134,829,true,60,true
org/apache/commons/imaging/formats/png/PngConstants,true,11,125,false,NA,NA
org/apache/commons/imaging/formats/png/scanlinefilters/ScanlineFilterUp,true,16,224,true,18,true
org/apache/commons/imaging/formats/png/scanlinefilters/ScanlineFilter,true,0,44,true,0,NA
org/apache/commons/imaging/formats/png/scanlinefilters/ScanlineFilterAverage,true,58,363,true,44,true
org/apache/commons/imaging/formats/png/scanlinefilters/ScanlineFilterSub,true,30,284,true,36,true
org/apache/commons/imaging/formats/png/scanlinefilters/ScanlineFilterPaeth,true,90,672,true,64,true
org/apache/commons/imaging/formats/png/scanlinefilters/ScanlineFilterNone,true,4,120,true,0,true
org/apache/commons/imaging/formats/tiff/TiffField,true,2547,7059,false,NA,false
org/apache/commons/imaging/formats/tiff/TiffReader,false,NA,NA,false,NA,false
org/apache/commons/imaging/formats/tiff/taginfos/TagInfoXpString,true,68,291,false,NA,false
org/apache/commons/imaging/formats/tiff/taginfos/TagInfoGpsText,true,488,2502,false,NA,false
org/apache/commons/imaging/formats/tiff/taginfos/TagInfoLong,true,17,228,false,NA,false
org/apache/commons/imaging/formats/tiff/taginfos/TagInfoByteOrShort,true,8,139,false,NA,false
org/apache/commons/imaging/formats/tiff/taginfos/TagInfoSLong,true,8,168,false,NA,false
org/apache/commons/imaging/formats/tiff/taginfos/TagInfoDouble,true,8,168,false,NA,false
org/apache/commons/imaging/formats/tiff/taginfos/TagInfoAny,true,4,54,true,0,true
org/apache/commons/imaging/formats/tiff/taginfos/TagInfoDirectory,true,4,54,true,0,true
org/apache/commons/imaging/formats/tiff/taginfos/TagInfoShort,true,8,168,false,NA,false
org/apache/commons/imaging/formats/tiff/taginfos/TagInfoAsciiOrByte,true,4,58,true,0,true
org/apache/commons/imaging/formats/tiff/taginfos/TagInfoShortOrLong,true,17,232,false,NA,false
org/apache/commons/imaging/formats/tiff/taginfos/TagInfoUndefined,true,4,54,true,0,true
org/apache/commons/imaging/formats/tiff/taginfos/TagInfoFloat,true,8,168,false,NA,false
org/apache/commons/imaging/formats/tiff/taginfos/TagInfoAscii,true,75,635,false,NA,false
org/apache/commons/imaging/formats/tiff/taginfos/TagInfoSRational,true,10,168,false,NA,false
org/apache/commons/imaging/formats/tiff/taginfos/TagInfoSShort,true,8,168,false,NA,false
org/apache/commons/imaging/formats/tiff/taginfos/TagInfoSByte,true,6,82,false,NA,NA
org/apache/commons/imaging/formats/tiff/taginfos/TagInfoByte,true,16,200,false,NA,false
org/apache/commons/imaging/formats/tiff/taginfos/TagInfoRational,true,10,168,false,NA,false
org/apache/commons/imaging/formats/tiff/taginfos/TagInfoUnknown,true,4,54,true,0,true
org/apache/commons/imaging/formats/tiff/taginfos/TagInfoShortOrLongOrRational,true,13,225,false,NA,false
org/apache/commons/imaging/formats/tiff/taginfos/TagInfoAsciiOrRational,true,4,58,true,0,true
