Class,isDecompilable,distanceToOriginal,nbNodesOriginal,isRecompilable,bytecodeDistance,passTests
org/apache/commons/lang3/Conversion,true,1185,13842,false,NA,false
org/apache/commons/lang3/CharUtils,true,168,1629,true,36,false
org/apache/commons/lang3/CharSequenceUtils,true,159,1856,true,37,true
org/apache/commons/lang3/BooleanUtils,true,601,4667,true,15,true
org/apache/commons/lang3/ArchUtils,true,56,1055,true,4,true
org/apache/commons/lang3/CharSet,true,165,1822,true,25,true
org/apache/commons/lang3/exception/ContextedException,true,59,780,true,6,true
org/apache/commons/lang3/exception/package-info,false,NA,NA,false,NA,NA
org/apache/commons/lang3/exception/DefaultExceptionContext,true,162,1406,true,22,true
org/apache/commons/lang3/exception/ExceptionContext,true,0,78,true,6,NA
org/apache/commons/lang3/exception/ContextedRuntimeException,true,59,780,true,6,true
org/apache/commons/lang3/exception/ExceptionUtils,true,380,3948,false,NA,false
org/apache/commons/lang3/exception/CloneFailedException,true,4,92,true,0,true
org/apache/commons/lang3/RegExUtils,true,101,866,true,50,true
org/apache/commons/lang3/event/EventListenerSupport,true,167,1629,false,NA,false
org/apache/commons/lang3/event/EventUtils,true,143,1207,false,NA,false
org/apache/commons/lang3/event/package-info,false,NA,NA,false,NA,NA
org/apache/commons/lang3/AnnotationUtils,true,471,4100,false,NA,false
org/apache/commons/lang3/math/package-info,false,NA,NA,false,NA,NA
org/apache/commons/lang3/math/NumberUtils,true,989,10898,true,957,false
org/apache/commons/lang3/math/Fraction,true,870,7850,false,NA,false
org/apache/commons/lang3/math/IEEE754rUtils,true,89,1596,true,12,true
org/apache/commons/lang3/package-info,false,NA,NA,false,NA,NA
org/apache/commons/lang3/NotImplementedException,true,11,311,true,2,true
org/apache/commons/lang3/ArrayUtils,true,11706,62019,false,NA,false
org/apache/commons/lang3/LocaleUtils,true,268,3010,false,NA,false
org/apache/commons/lang3/CharRange,true,356,2596,false,NA,false
org/apache/commons/lang3/CharSetUtils,true,269,1355,false,NA,false
org/apache/commons/lang3/time/DurationFormatUtils,true,636,7170,false,NA,false
org/apache/commons/lang3/time/FastDateParser,true,1918,10316,false,NA,false
org/apache/commons/lang3/time/DateParser,true,0,82,true,0,NA
org/apache/commons/lang3/time/FastDatePrinter,true,2233,12893,false,NA,false
org/apache/commons/lang3/time/FastTimeZone,true,48,579,true,25,true
org/apache/commons/lang3/time/DatePrinter,true,12,170,false,NA,NA
org/apache/commons/lang3/time/StopWatch,true,280,2441,false,NA,false
org/apache/commons/lang3/time/FastDateFormat,true,273,2741,false,NA,false
org/apache/commons/lang3/time/FormatCache,true,201,1786,false,NA,false
org/apache/commons/lang3/time/package-info,false,NA,NA,false,NA,NA
org/apache/commons/lang3/time/GmtTimeZone,true,100,861,true,0,true
org/apache/commons/lang3/time/TimeZones,true,1,20,true,0,NA
org/apache/commons/lang3/time/DateFormatUtils,true,173,1490,true,14,true
org/apache/commons/lang3/time/DateUtils,true,3145,10223,false,NA,false
org/apache/commons/lang3/builder/MultilineRecursiveToStringStyle,true,313,2651,true,0,true
org/apache/commons/lang3/builder/RecursiveToStringStyle,true,25,462,true,5,true
org/apache/commons/lang3/builder/CompareToBuilder,true,812,7640,true,68,true
org/apache/commons/lang3/builder/HashCodeExclude,true,4,38,true,0,NA
org/apache/commons/lang3/builder/Builder,true,3,7,false,NA,NA
org/apache/commons/lang3/builder/ToStringSummary,true,4,38,true,0,NA
org/apache/commons/lang3/builder/HashCodeBuilder,true,776,4737,true,92,true
org/apache/commons/lang3/builder/package-info,false,NA,NA,false,NA,NA
org/apache/commons/lang3/builder/DiffBuilder,true,1199,6853,false,NA,false
org/apache/commons/lang3/builder/ReflectionToStringBuilder,true,213,3228,true,48,true
org/apache/commons/lang3/builder/Diffable,true,3,11,true,2,NA
org/apache/commons/lang3/builder/StandardToStringStyle,true,155,1322,true,0,true
org/apache/commons/lang3/builder/ToStringBuilder,true,498,5438,true,44,true
org/apache/commons/lang3/builder/Diff,true,49,427,false,NA,false
org/apache/commons/lang3/builder/EqualsExclude,true,4,38,true,0,NA
org/apache/commons/lang3/builder/ToStringStyle,true,5443,16607,false,NA,false
org/apache/commons/lang3/builder/DiffResult,true,93,1004,false,NA,false
org/apache/commons/lang3/builder/EqualsBuilder,true,911,8726,true,511,true
org/apache/commons/lang3/builder/ReflectionDiffBuilder,true,95,712,true,4,true
org/apache/commons/lang3/builder/ToStringExclude,true,4,38,true,0,NA
org/apache/commons/lang3/builder/IDKey,true,38,248,true,0,true
org/apache/commons/lang3/SystemUtils,true,696,3960,true,25,true
org/apache/commons/lang3/CharEncoding,true,11,139,true,0,true
org/apache/commons/lang3/Functions,true,280,1823,false,NA,false
org/apache/commons/lang3/SerializationUtils,true,392,1734,false,NA,false
org/apache/commons/lang3/JavaVersion,true,66,1672,false,NA,false
org/apache/commons/lang3/StringEscapeUtils,true,516,4371,false,NA,false
org/apache/commons/lang3/StringUtils,true,10054,44491,false,NA,false
org/apache/commons/lang3/SerializationException,true,5,103,true,0,true
org/apache/commons/lang3/ThreadUtils,true,294,2639,false,NA,false
