Class,isDecompilable,distanceToOriginal,nbNodesOriginal,isRecompilable,bytecodeDistance,passTests
joda-time/javac/org/joda/time/field/DecoratedDurationField,true,46,533,true,0,true
joda-time/javac/org/joda/time/field/PreciseDateTimeField,true,98,708,true,3,true
joda-time/javac/org/joda/time/field/MillisDurationField,true,24,659,true,3,true
joda-time/javac/org/joda/time/field/ScaledDurationField,true,145,1307,true,17,true
joda-time/javac/org/joda/time/field/SkipDateTimeField,true,43,645,true,2,true
joda-time/javac/org/joda/time/field/DecoratedDateTimeField,true,48,448,true,0,true
joda-time/javac/org/joda/time/field/FieldUtils,true,152,2157,true,59,true
joda-time/javac/org/joda/time/field/DividedDateTimeField,true,251,2094,true,10,true
joda-time/javac/org/joda/time/field/UnsupportedDurationField,true,96,1053,true,2,true
joda-time/javac/org/joda/time/field/PreciseDurationField,true,49,668,true,8,true
joda-time/javac/org/joda/time/field/DelegatedDurationField,true,139,1192,true,4,NA
joda-time/javac/org/joda/time/field/AbstractPartialFieldProperty,true,193,1332,true,22,true
joda-time/javac/org/joda/time/field/PreciseDurationDateTimeField,true,106,807,true,3,true
joda-time/javac/org/joda/time/field/BaseDateTimeField,true,465,5386,true,12,true
joda-time/javac/org/joda/time/field/OffsetDateTimeField,true,138,1452,true,0,true
joda-time/javac/org/joda/time/field/BaseDurationField,true,55,547,true,3,true
joda-time/javac/org/joda/time/field/DelegatedDateTimeField,true,312,2833,true,5,true
joda-time/javac/org/joda/time/field/StrictDateTimeField,true,20,253,true,3,true
joda-time/javac/org/joda/time/field/RemainderDateTimeField,true,195,1485,true,6,true
joda-time/javac/org/joda/time/field/ZeroIsMaxDateTimeField,true,96,1183,true,0,true
joda-time/javac/org/joda/time/field/SkipUndoDateTimeField,true,36,569,true,0,true
joda-time/javac/org/joda/time/field/AbstractReadableInstantFieldProperty,true,279,1870,true,14,true
joda-time/javac/org/joda/time/field/ImpreciseDateTimeField,true,216,1077,false,NA,false
joda-time/javac/org/joda/time/field/UnsupportedDateTimeField,true,262,2027,true,17,true
joda-time/javac/org/joda/time/field/LenientDateTimeField,true,32,404,true,3,true
joda-time/javac/org/joda/time/chrono/IslamicChronology,true,524,4278,false,NA,false
joda-time/javac/org/joda/time/chrono/GJCacheKey,true,83,682,true,4,true
joda-time/javac/org/joda/time/chrono/BasicDayOfMonthDateTimeField,true,61,881,true,0,true
joda-time/javac/org/joda/time/chrono/ZonedChronology,true,1742,10361,false,NA,false
joda-time/javac/org/joda/time/chrono/LenientChronology,true,198,1522,true,3,true
joda-time/javac/org/joda/time/chrono/EthiopicChronology,true,70,1820,true,59,true
joda-time/javac/org/joda/time/chrono/GJMonthOfYearDateTimeField,true,2,256,true,0,true
joda-time/javac/org/joda/time/chrono/BuddhistChronology,true,70,1530,true,21,true
joda-time/javac/org/joda/time/chrono/GJDayOfWeekDateTimeField,true,20,432,true,0,true
joda-time/javac/org/joda/time/chrono/GJEraDateTimeField,true,111,906,true,9,true
joda-time/javac/org/joda/time/chrono/StrictChronology,true,81,1414,true,3,true
joda-time/javac/org/joda/time/chrono/GJLocaleSymbols,true,268,3577,true,42,true
joda-time/javac/org/joda/time/chrono/BasicWeekOfWeekyearDateTimeField,true,51,789,true,0,true
joda-time/javac/org/joda/time/chrono/BasicSingleEraDateTimeField,true,47,555,true,0,true
