Class,isDecompilable,distanceToOriginal,nbNodesOriginal,isRecompilable,bytecodeDistance,passTests
commons-imaging/javac/org/apache/commons/imaging/palette/ColorCount,true,45,347,true,19,true
commons-imaging/javac/org/apache/commons/imaging/palette/ColorGroup,true,873,2630,false,NA,false
commons-imaging/javac/org/apache/commons/imaging/palette/SimplePalette,true,21,318,true,0,true
commons-imaging/javac/org/apache/commons/imaging/palette/MedianCutMostPopulatedBoxesImplementation,false,NA,NA,false,NA,false
commons-imaging/javac/org/apache/commons/imaging/FormatCompliance,true,691,1921,true,328,true
commons-imaging/javac/org/apache/commons/imaging/formats/ico/IcoImageParser,false,NA,NA,false,NA,false
commons-imaging/javac/org/apache/commons/imaging/formats/ico/package-info,true,NA,NA,false,NA,NA
commons-imaging/javac/org/apache/commons/imaging/formats/wbmp/WbmpImageParser,false,NA,NA,false,NA,false
commons-imaging/javac/org/apache/commons/imaging/formats/wbmp/package-info,true,NA,NA,false,NA,NA
commons-imaging/javac/org/apache/commons/imaging/formats/xbm/package-info,true,NA,NA,false,NA,NA
commons-imaging/javac/org/apache/commons/imaging/formats/xbm/XbmImageParser,false,NA,NA,false,NA,false
commons-imaging/javac/org/apache/commons/imaging/formats/gif/GifHeaderInfo,true,60,522,true,0,true
commons-imaging/javac/org/apache/commons/imaging/formats/gif/ImageContents,true,12,137,false,NA,false
commons-imaging/javac/org/apache/commons/imaging/formats/gif/package-info,true,NA,NA,false,NA,NA
commons-imaging/javac/org/apache/commons/imaging/formats/gif/GifBlock,true,4,46,true,0,true
commons-imaging/javac/org/apache/commons/imaging/formats/gif/GenericGifBlock,true,35,363,true,25,true
commons-imaging/javac/org/apache/commons/imaging/formats/gif/ImageDescriptor,true,45,430,true,0,true
commons-imaging/javac/org/apache/commons/imaging/formats/gif/GraphicControlExtension,true,21,196,true,0,true
commons-imaging/javac/org/apache/commons/imaging/formats/gif/GifImageParser,false,NA,NA,false,NA,false
commons-imaging/javac/org/apache/commons/imaging/formats/tga/TgaConstants,true,NA,NA,true,NA,NA
commons-imaging/javac/org/apache/commons/imaging/formats/tga/TgaImageParser,true,NA,NA,true,NA,NA
commons-imaging/javac/org/apache/commons/imaging/formats/rgbe/package-info,true,NA,NA,false,NA,NA
commons-imaging/javac/org/apache/commons/imaging/formats/rgbe/InfoHeaderReader,true,43,220,true,26,true
commons-imaging/javac/org/apache/commons/imaging/formats/rgbe/RgbeImageParser,false,NA,NA,false,NA,false
commons-imaging/javac/org/apache/commons/imaging/formats/rgbe/RgbeInfo,true,567,2251,true,389,true
commons-imaging/javac/org/apache/commons/imaging/formats/psd/ImageResourceType,true,89,2338,false,NA,NA
commons-imaging/javac/org/apache/commons/imaging/formats/psd/ImageResourceBlock,true,48,242,true,10,true
commons-imaging/javac/org/apache/commons/imaging/formats/psd/dataparsers/DataParserGrayscale,true,26,234,true,4,NA
commons-imaging/javac/org/apache/commons/imaging/formats/psd/dataparsers/DataParserBitmap,true,24,276,true,16,NA
commons-imaging/javac/org/apache/commons/imaging/formats/psd/dataparsers/DataParserIndexed,true,96,522,true,37,NA
commons-imaging/javac/org/apache/commons/imaging/formats/psd/dataparsers/DataParserCmyk,true,33,445,true,18,NA
commons-imaging/javac/org/apache/commons/imaging/formats/psd/dataparsers/DataParser,true,75,320,true,26,true
commons-imaging/javac/org/apache/commons/imaging/formats/psd/dataparsers/DataParserLab,true,40,314,true,14,NA
commons-imaging/javac/org/apache/commons/imaging/formats/psd/dataparsers/DataParserRgb,true,34,356,true,4,true
commons-imaging/javac/org/apache/commons/imaging/formats/psd/dataparsers/DataParserStub,true,6,73,true,0,NA
commons-imaging/javac/org/apache/commons/imaging/formats/psd/ImageContents,true,356,723,true,94,true
commons-imaging/javac/org/apache/commons/imaging/formats/psd/PsdImageParser,false,NA,NA,false,NA,false
commons-imaging/javac/org/apache/commons/imaging/formats/psd/PsdHeaderInfo,true,550,1080,true,145,true
commons-imaging/javac/org/apache/commons/imaging/formats/psd/package-info,true,NA,NA,false,NA,NA
commons-imaging/javac/org/apache/commons/imaging/formats/psd/datareaders/DataReader,true,5,71,true,0,true
commons-imaging/javac/org/apache/commons/imaging/formats/psd/datareaders/UncompressedDataReader,false,NA,NA,false,NA,NA
commons-imaging/javac/org/apache/commons/imaging/formats/psd/datareaders/CompressedDataReader,false,NA,NA,false,NA,false
commons-imaging/javac/org/apache/commons/imaging/formats/package-info,true,NA,NA,false,NA,NA
commons-imaging/javac/org/apache/commons/imaging/formats/png/GammaCorrection,true,93,763,true,14,true
commons-imaging/javac/org/apache/commons/imaging/formats/png/transparencyfilters/TransparencyFilterTrueColor,true,83,399,true,48,true
commons-imaging/javac/org/apache/commons/imaging/formats/png/transparencyfilters/TransparencyFilter,true,4,82,true,0,true
commons-imaging/javac/org/apache/commons/imaging/formats/png/transparencyfilters/TransparencyFilterGrayscale,true,19,206,true,14,true
commons-imaging/javac/org/apache/commons/imaging/formats/png/transparencyfilters/TransparencyFilterIndexedColor,true,76,228,true,57,true
commons-imaging/javac/org/apache/commons/imaging/formats/png/PngImageParser,false,NA,NA,false,NA,false
commons-imaging/javac/org/apache/commons/imaging/formats/png/PngImageInfo,true,22,275,true,6,true
commons-imaging/javac/org/apache/commons/imaging/formats/png/PngWriter,false,NA,NA,false,NA,false
commons-imaging/javac/org/apache/commons/imaging/formats/png/ColorType,true,NA,839,false,NA,false
commons-imaging/javac/org/apache/commons/imaging/formats/png/PngCrc,true,43,691,true,42,true
commons-imaging/javac/org/apache/commons/imaging/formats/png/ScanExpediter,true,473,2628,false,NA,false
commons-imaging/javac/org/apache/commons/imaging/formats/png/chunks/PngTextChunk,true,4,86,true,0,true
commons-imaging/javac/org/apache/commons/imaging/formats/png/chunks/PngChunkText,true,116,561,false,NA,false
commons-imaging/javac/org/apache/commons/imaging/formats/png/chunks/PngChunkIhdr,true,183,716,false,NA,false
commons-imaging/javac/org/apache/commons/imaging/formats/png/chunks/PngChunkGama,true,19,215,true,8,true
commons-imaging/javac/org/apache/commons/imaging/formats/png/chunks/PngChunkPlte,true,305,823,true,185,true
commons-imaging/javac/org/apache/commons/imaging/formats/png/chunks/PngChunkIdat,true,0,71,true,0,true
commons-imaging/javac/org/apache/commons/imaging/formats/png/chunks/PngChunkPhys,true,37,314,true,14,true
commons-imaging/javac/org/apache/commons/imaging/formats/png/chunks/PngChunkZtxt,true,163,618,false,NA,false
commons-imaging/javac/org/apache/commons/imaging/formats/png/chunks/PngChunkItxt,true,272,1226,false,NA,false
