Class,isDecompilable,distanceToOriginal,nbNodesOriginal,isRecompilable,bytecodeDistance,passTests
commons-imaging/eclipse/org/apache/commons/imaging/ImageParser,true,445,3530,false,NA,false
commons-imaging/eclipse/org/apache/commons/imaging/palette/QuantizedPalette,true,45,910,true,4,true
commons-imaging/eclipse/org/apache/commons/imaging/palette/MedianCutImplementation,true,2,31,false,NA,NA
commons-imaging/eclipse/org/apache/commons/imaging/palette/MedianCutLongestAxisImplementation,true,404,1753,false,NA,false
commons-imaging/eclipse/org/apache/commons/imaging/palette/ColorComponent,true,3,174,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/palette/PaletteFactory,true,840,6578,false,NA,false
commons-imaging/eclipse/org/apache/commons/imaging/palette/ColorGroupCut,true,32,249,true,3,true
commons-imaging/eclipse/org/apache/commons/imaging/palette/package-info,true,NA,NA,false,NA,NA
commons-imaging/eclipse/org/apache/commons/imaging/palette/MedianCutPalette,true,19,160,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/palette/Palette,true,12,216,true,0,NA
commons-imaging/eclipse/org/apache/commons/imaging/palette/MedianCutQuantizer,true,107,1815,true,89,true
commons-imaging/eclipse/org/apache/commons/imaging/palette/Dithering,true,44,1745,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/palette/ColorSpaceSubset,true,374,4040,false,NA,false
commons-imaging/eclipse/org/apache/commons/imaging/palette/ColorCount,true,22,347,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/palette/ColorGroup,true,339,2630,false,NA,false
commons-imaging/eclipse/org/apache/commons/imaging/palette/SimplePalette,true,20,318,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/palette/MedianCutMostPopulatedBoxesImplementation,true,310,1801,false,NA,false
commons-imaging/eclipse/org/apache/commons/imaging/FormatCompliance,true,137,1921,true,57,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/ico/IcoImageParser,true,1203,11148,false,NA,false
commons-imaging/eclipse/org/apache/commons/imaging/formats/ico/package-info,true,NA,NA,false,NA,NA
commons-imaging/eclipse/org/apache/commons/imaging/formats/wbmp/WbmpImageParser,true,278,3300,false,NA,false
commons-imaging/eclipse/org/apache/commons/imaging/formats/wbmp/package-info,true,NA,NA,false,NA,NA
commons-imaging/eclipse/org/apache/commons/imaging/formats/xbm/package-info,true,NA,NA,false,NA,NA
commons-imaging/eclipse/org/apache/commons/imaging/formats/xbm/XbmImageParser,true,538,5616,false,NA,false
commons-imaging/eclipse/org/apache/commons/imaging/formats/gif/GifHeaderInfo,true,15,522,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/gif/ImageContents,true,3,137,false,NA,false
commons-imaging/eclipse/org/apache/commons/imaging/formats/gif/package-info,true,NA,NA,false,NA,NA
commons-imaging/eclipse/org/apache/commons/imaging/formats/gif/GifBlock,true,1,46,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/gif/GenericGifBlock,true,14,363,true,4,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/gif/ImageDescriptor,true,12,430,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/gif/GraphicControlExtension,true,6,196,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/gif/GifImageParser,true,1413,13214,false,NA,false
commons-imaging/eclipse/org/apache/commons/imaging/formats/tga/TgaConstants,false,NA,NA,false,NA,NA
commons-imaging/eclipse/org/apache/commons/imaging/formats/tga/TgaImageParser,false,NA,NA,false,NA,NA
commons-imaging/eclipse/org/apache/commons/imaging/formats/rgbe/package-info,true,NA,NA,false,NA,NA
commons-imaging/eclipse/org/apache/commons/imaging/formats/rgbe/InfoHeaderReader,true,11,220,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/rgbe/RgbeImageParser,true,89,1141,true,88,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/rgbe/RgbeInfo,true,163,2251,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/psd/ImageResourceType,true,32,2338,true,22,NA
commons-imaging/eclipse/org/apache/commons/imaging/formats/psd/ImageResourceBlock,true,9,242,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/psd/dataparsers/DataParserGrayscale,true,19,234,false,NA,NA
commons-imaging/eclipse/org/apache/commons/imaging/formats/psd/dataparsers/DataParserBitmap,true,21,276,false,NA,NA
commons-imaging/eclipse/org/apache/commons/imaging/formats/psd/dataparsers/DataParserIndexed,true,43,522,false,NA,NA
commons-imaging/eclipse/org/apache/commons/imaging/formats/psd/dataparsers/DataParserCmyk,true,8,445,true,0,NA
commons-imaging/eclipse/org/apache/commons/imaging/formats/psd/dataparsers/DataParser,true,14,320,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/psd/dataparsers/DataParserLab,true,9,314,true,0,NA
commons-imaging/eclipse/org/apache/commons/imaging/formats/psd/dataparsers/DataParserRgb,true,22,356,false,NA,false
commons-imaging/eclipse/org/apache/commons/imaging/formats/psd/dataparsers/DataParserStub,true,6,73,true,0,NA
commons-imaging/eclipse/org/apache/commons/imaging/formats/psd/ImageContents,true,34,723,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/psd/PsdImageParser,true,824,7226,false,NA,false
commons-imaging/eclipse/org/apache/commons/imaging/formats/psd/PsdHeaderInfo,true,47,1080,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/psd/package-info,true,NA,NA,false,NA,NA
commons-imaging/eclipse/org/apache/commons/imaging/formats/psd/datareaders/DataReader,true,1,71,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/psd/datareaders/UncompressedDataReader,true,25,547,true,0,NA
commons-imaging/eclipse/org/apache/commons/imaging/formats/psd/datareaders/CompressedDataReader,true,41,839,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/package-info,true,NA,NA,false,NA,NA
commons-imaging/eclipse/org/apache/commons/imaging/formats/png/GammaCorrection,true,66,763,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/png/transparencyfilters/TransparencyFilterTrueColor,true,32,399,true,3,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/png/transparencyfilters/TransparencyFilter,true,1,82,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/png/transparencyfilters/TransparencyFilterGrayscale,true,26,206,true,3,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/png/transparencyfilters/TransparencyFilterIndexedColor,true,52,228,true,33,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/png/PngImageParser,true,1264,8903,false,NA,false
commons-imaging/eclipse/org/apache/commons/imaging/formats/png/PngImageInfo,true,22,275,true,6,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/png/PngWriter,true,913,8245,false,NA,false
commons-imaging/eclipse/org/apache/commons/imaging/formats/png/ColorType,true,69,839,true,30,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/png/PngCrc,true,85,691,true,24,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/png/ScanExpediter,true,469,2628,true,82,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/png/chunks/PngTextChunk,true,4,86,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/png/chunks/PngChunkText,true,48,561,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/png/chunks/PngChunkIhdr,true,42,716,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/png/chunks/PngChunkGama,true,14,215,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/png/chunks/PngChunkPlte,true,71,823,true,13,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/png/chunks/PngChunkIdat,true,0,71,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/png/chunks/PngChunkPhys,true,16,314,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/png/chunks/PngChunkZtxt,true,60,618,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/png/chunks/PngChunkItxt,true,97,1226,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/png/chunks/PngChunk,true,51,674,false,NA,false
commons-imaging/eclipse/org/apache/commons/imaging/formats/png/chunks/PngChunkIccp,true,78,925,true,0,NA
commons-imaging/eclipse/org/apache/commons/imaging/formats/png/ChunkType,true,12,459,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/png/InterlaceMethod,true,3,113,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/png/PngText,true,93,277,false,NA,false
commons-imaging/eclipse/org/apache/commons/imaging/formats/png/ScanExpediterSimple,true,43,440,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/png/package-info,true,NA,NA,false,NA,NA
commons-imaging/eclipse/org/apache/commons/imaging/formats/png/FilterType,true,0,82,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/png/ScanExpediterInterlaced,true,104,1003,true,0,NA
commons-imaging/eclipse/org/apache/commons/imaging/formats/png/BitParser,true,78,829,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/png/PngConstants,true,3,125,true,0,NA
commons-imaging/eclipse/org/apache/commons/imaging/formats/png/scanlinefilters/ScanlineFilterUp,true,4,224,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/png/scanlinefilters/ScanlineFilter,true,0,44,true,0,NA
commons-imaging/eclipse/org/apache/commons/imaging/formats/png/scanlinefilters/ScanlineFilterAverage,true,10,363,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/png/scanlinefilters/ScanlineFilterSub,true,9,284,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/png/scanlinefilters/ScanlineFilterPaeth,true,31,672,true,3,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/png/scanlinefilters/ScanlineFilterNone,true,4,120,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/TiffField,true,965,7059,false,NA,false
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/TiffReader,true,727,5493,false,NA,false
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/taginfos/TagInfoXpString,true,36,291,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/taginfos/TagInfoGpsText,true,235,2502,false,NA,false
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/taginfos/TagInfoLong,true,17,228,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/taginfos/TagInfoByteOrShort,true,8,139,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/taginfos/TagInfoSLong,true,8,168,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/taginfos/TagInfoDouble,true,8,168,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/taginfos/TagInfoAny,true,4,54,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/taginfos/TagInfoDirectory,true,4,54,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/taginfos/TagInfoShort,true,8,168,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/taginfos/TagInfoAsciiOrByte,true,4,58,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/taginfos/TagInfoShortOrLong,true,17,232,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/taginfos/TagInfoUndefined,true,4,54,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/taginfos/TagInfoFloat,true,8,168,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/taginfos/TagInfoAscii,true,13,635,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/taginfos/TagInfoSRational,true,8,168,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/taginfos/TagInfoSShort,true,8,168,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/taginfos/TagInfoSByte,true,6,82,true,0,NA
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/taginfos/TagInfoByte,true,16,200,true,2,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/taginfos/TagInfoRational,true,8,168,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/taginfos/TagInfoUnknown,true,4,54,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/taginfos/TagInfoShortOrLongOrRational,true,12,225,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/taginfos/TagInfoAsciiOrRational,true,4,58,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/taginfos/TagInfoLongOrIFD,true,17,228,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/taginfos/TagInfo,true,64,1051,false,NA,false
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/taginfos/TagInfoShortOrRational,true,8,172,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/TiffDirectory,true,676,7626,false,NA,false
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/TiffContents,true,141,907,false,NA,false
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/TiffHeader,true,19,158,true,3,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/write/TiffImageWriterLossless,true,516,4132,false,NA,false
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/write/TiffImageWriterLossy,true,94,529,true,36,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/write/ImageDataOffsets,true,11,257,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/write/TiffOutputField,true,114,1709,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/write/TiffOutputSummary,true,94,681,false,NA,false
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/write/TiffImageWriterBase,true,600,7085,false,NA,false
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/write/TiffOutputSet,true,416,2586,false,NA,false
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/write/TiffOutputItem,true,113,613,false,NA,false
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/write/TiffOutputDirectory,true,948,9015,false,NA,false
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/package-info,true,NA,NA,false,NA,NA
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/constants/GpsTagConstants,true,0,1805,true,2,NA
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/constants/GeoTiffTagConstants,true,0,409,true,2,NA
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/constants/TiffTagConstants,true,4,4666,true,2,NA
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/constants/TiffDirectoryType,true,51,613,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/constants/AliasSketchbookProTagConstants,true,2,106,true,4,NA
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/constants/MicrosoftTagConstants,true,0,409,true,2,NA
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/constants/ExifTagConstants,true,0,7451,true,2,NA
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/constants/GdalLibraryTagConstants,true,3,159,true,4,NA
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/constants/TagConstantsUtils,true,133,438,true,78,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/constants/MicrosoftHdPhotoTagConstants,true,0,2359,true,2,NA
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/constants/MolecularDynamicsGelTagConstants,true,0,462,true,2,NA
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/constants/AllTagConstants,true,58,171,true,2,NA
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/constants/OceScanjobTagConstants,true,5,265,true,4,NA
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/constants/AdobePhotoshopTagConstants,true,3,155,true,4,NA
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/constants/HylaFaxTagConstants,true,0,250,true,2,NA
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/constants/TiffEpTagConstants,true,0,1121,true,2,NA
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/constants/AdobePageMaker6TagConstants,true,0,437,true,2,NA
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/constants/DcfTagConstants,true,0,270,true,2,NA
